,Life expectancy at birth,,Women who were first married by age 18,Account at a financial institution,,Wage and salary workers,Wage and salaried workers,Firms with female participation in ownership,Women in parliaments,Nondiscrimination clause mentions gender in the constitution
Cuba,77.6,81.6,26,..,..,53.3,77.9,..,49,..
Curacao,74.8,81,..,..,..,..,..,..,..,..
Cyprus,78.2,82.5,..,90,90.3,81.9,88.4,..,18,1
Czech Republic,76.4,82.7,..,85.2,79.4,79.1,87.2,30.8,20,..
Denmark,79.1,83.2,..,100,100,88.2,94.1,..,37,..
Djibouti,60.6,63.9,..,..,..,..,..,22.3,13,..
Dominica,..,..,..,..,..,..,..,41,22,1
Dominican Republic,70.6,76.9,36.5,52.1,55.8,47,70.2,30,27,1
Ecuador,73.4,78.9,..,51.9,40.8,61.4,48.4,24.1,42,1
"Egypt, Arab Rep.",69.1,73.6,17.4,18,9.2,65.3,51.6,16.1,15,1
El Salvador,68.5,77.7,..,40.3,29.4,62.4,41.4,38.4,32,..
Equatorial Guinea,56.1,58.9,29.5,..,..,..,..,..,24,1
Eritrea,62.5,66.8,40.7,..,..,..,..,..,22,..
Estonia,72.4,82.1,..,97.9,97.5,88,93.4,35.8,24,1
Ethiopia,63.2,66.9,41,22.6,21,50.3,45.7,36.2,39,1
Faroe Islands,79,84.4,..,..,..,..,..,..,..,..
Fiji,67.3,73.3,..,..,..,..,..,..,16,1
Finland,78.8,84.1,..,100,100,81.3,90.5,..,42,..
France,79.5,86,..,97.8,95.5,85,91.6,..,26,..
French Polynesia,74.5,79,..,..,..,..,..,..,..,..
Gabon,64.2,67.3,21.9,32.3,28.1,69.1,59.5,..,14,..
"Gambia, The",59.7,62.3,30.4,..,..,30.6,14.6,..,9,1
Georgia,68.8,77.3,14,39.6,39.8,42.8,41.8,33.9,11,..
Germany,78.7,83.6,..,98,99.4,86.6,92.3,..,37,..
Ghana,61.4,63.4,20.7,35.3,34,32.5,13.2,31.6,11,1
Greece,79.1,84.2,..,88.5,86.6,61.1,70.4,..,20,..
Greenland,69.7,74.1,..,..,..,..,..,..,..,..
Grenada,71.1,76,..,..,..,..,..,57.3,33,1
Guam,77,81.9,..,..,..,..,..,..,..,..
Guatemala,69.9,76.3,29.5,47.7,34.6,42.7,47,44.2,14,..
Guinea,58.9,59.9,51.7,8.5,3.8,..,..,9,22,..
Guinea-Bissau,55.3,58.7,22,..,..,..,..,..,14,0
Guyana,64.3,68.9,23,..,..,..,..,58.3,30,1
Haiti,60.9,65.2,17.5,20.9,14.2,..,..,..,0,..
Honduras,70.8,75.9,33.6,35.4,24.9,49.2,42.2,43.3,26,1
Hungary,72.4,79.7,..,72,72.5,86.6,91.8,47.1,10,1
Iceland,81.3,84.5,..,..,..,84.1,92.5,..,48,..
India,66.9,69.9,..,62.5,42.6,..,..,10.7,12,1
Indonesia,67,71.2,13.6,34.6,37.2,40.3,35.9,22.1,17,0
"Iran, Islamic Rep.",74.7,76.9,17,97.1,87.1,55.8,56,..,6,..
Iraq,67.5,71.9,24.3,14.6,7.4,..,..,6.8,27,1
Ireland,79.6,83.5,..,94.7,94.8,75.3,91.8,..,22,..
Isle of Man,..,..,..,..,..,..,..,..,..,..
Israel,80.1,84.1,..,89.9,90,84.2,91,27.3,27,..
Italy,81.1,86,..,91.9,83.2,71.3,81.7,..,31,..
Jamaica,73.5,78.3,7.9,79.2,77.5,..,..,38.2,18,1
Japan,80.8,87.1,..,96.2,97,87.8,90.4,..,10,1
Jordan,72.5,75.9,8.4,33.3,15.5,..,..,15.7,15,0
Kazakhstan,67.5,76.9,6.1,52,55.6,71.7,74.3,28.3,27,1
Kenya,64.3,69.1,22.9,58.9,51.9,..,..,48.7,20,1
Kiribati,62.8,69.4,20.3,..,..,40.1,41,..,7,0
"Korea, Dem. People’s Rep.",67.8,74.8,..,..,..,..,..,..,16,..
"Korea, Rep.",79,85.5,..,95.4,93.4,71.6,75.4,..,17,1
Kosovo,69.2,73.6,..,59.4,36.3,68.5,79.3,11.1,..,1
Kuwait,73.7,75.8,..,79.3,64,..,..,..,2,1
Kyrgyz Republic,66.7,74.8,11.6,17.9,18.9,54,57.3,49.4,19,1
Lao PDR,64.8,67.8,35.4,..,..,20.4,10.9,43.1,28,..
Latvia,69.1,79.4,..,90.3,90.2,84.2,90.5,36.3,18,0
Lebanon,77.8,81.3,6.1,62.4,32.9,..,..,43.5,3,..
Lesotho,51.3,56,17.3,..,..,..,..,39.1,25,1
Liberia,61,63,35.9,..,..,27.3,8.6,..,11,..
Libya,69,74.8,..,..,..,..,..,..,16,1
Liechtenstein,81,83.2,..,..,..,..,..,..,20,..
Lithuania,69.9,80.6,..,77.9,77.9,85.4,90,35.8,21,..
Luxembourg,79.4,85.2,..,95.6,96.7,89.2,90.8,..,28,..
"Macedonia, FYR",73.6,77.6,6.9,79.7,64,70.7,78.7,30,33,1
Madagascar,64,67.1,41.2,6,5.5,13,8,41.6,21,1
Malawi,60,65.2,46.3,19.5,13,..,..,28.1,17,1
Malaysia,73,77.5,..,83,78.1,74.5,72.9,25.4,10,1
Maldives,76.1,78.2,3.9,..,..,63.9,67.7,..,6,1
Mali,56.8,58.2,59.6,16.1,10.5,..,..,15.3,9,1
Malta,79.8,84.2,..,97.1,95.6,81.7,93,..,13,1
Marshall Islands,..,..,..,..,..,..,..,..,9,1
Mauritania,61.6,64.6,34.3,22.2,18.8,..,..,15,25,..
Mauritius,71.1,77.8,..,84.6,80,76.1,83.9,..,12,1
Mexico,74.5,79.4,22.9,38.5,38.8,68.9,67.4,25.7,42,1
"Micronesia, Fed. Sts.",67.9,70.2,..,..,..,..,..,..,0,..
Moldova,67.2,75.8,12.2,16.4,19,60.1,70.8,47.3,22,1
Monaco,..,..,..,..,..,..,..,..,21,..
Mongolia,65.1,73.3,4.7,90.3,93.2,47.1,51.6,37.8,17,1
Montenegro,74.5,79.3,4.5,61.9,57.9,74.6,84.5,23.9,24,0
Morocco,74.4,76.7,..,..,..,47.1,33.9,31.3,21,..
Mozambique,55.5,59.8,48.2,..,..,..,..,..,40,..
Myanmar,64.1,68.8,..,28.6,17.1,..,..,27.3,10,1
Namibia,60.8,66.6,6.9,60.3,56,72.4,54.8,41,41,1
Nepal,68.3,71.5,36.6,36.7,31.3,..,..,21.8,30,1
Netherlands,80,83.5,..,99.4,99.2,80.2,86.6,..,37,1
New Caledonia,74.7,81,..,..,..,..,..,..,..,..
New Zealand,79.7,83.3,..,99.9,99.2,78.8,85.5,..,31,1
Nicaragua,72.1,78.1,..,23.9,14.1,..,..,61.9,41,1
Niger,58.7,60.7,76.3,4.4,2.5,..,..,..,15,1
Nigeria,52.2,53.8,42.8,54.3,33.6,..,..,16.2,6,1
Northern Mariana Islands,..,..,..,..,..,..,..,..,..,..
Norway,80.1,84.2,..,100,100,90.9,95.4,..,40,..
Oman,75.1,79.3,..,..,..,96.5,95.3,..,1,1
Pakistan,65.4,67.3,21,14.2,3,..,..,11.8,21,1
Palau,..,..,..,..,..,..,..,..,0,1
Panama,74.9,80.9,26.4,46.6,40.3,65.1,70.7,24.7,18,1
Papua New Guinea,63,67.9,..,..,..,..,..,46.5,3,..
Paraguay,70.9,75.2,..,..,..,56.1,55.4,51.6,15,0
Peru,72.1,77.4,18.6,35.7,22.5,53.1,39.3,28.7,28,1
Philippines,65.7,72.5,15,22,33.9,60.8,56.9,69.2,30,..
Poland,74.4,82.2,..,83.3,73,75.8,82.4,40.4,27,0
Portugal,78.4,84.8,..,88.8,86.1,78.1,86.6,..,35,0
Puerto Rico,75.8,83.6,..,73.7,66.1,76.6,92.1,..,..,1
Qatar,77.3,79.7,4.2,..,..,99.6,99.6,..,0,1
Romania,71.4,78.7,..,65.2,56.8,70.1,72.2,47,14,0
Russian Federation,65.5,76.6,..,63.8,70.2,91.9,93.7,28.5,13,..
Rwanda,64.6,68.8,6.8,45.9,30.5,24.6,11.5,42.7,64,1
Samoa,71.8,78,10.8,..,..,64.6,63.2,..,10,1
San Marino,..,..,..,..,..,89.1,93.5,..,17,..
Sao Tome and Principe,64.3,68.6,34.4,..,..,..,..,..,18,..
Saudi Arabia,73.1,76.1,..,75.3,61.1,94.6,98.6,..,20,..
Senegal,64.7,68.7,32.3,16,8.2,28.6,13.9,22.9,43,0
Serbia,73,78.1,3.2,83.2,83,65.8,75.3,29.8,34,1
Seychelles,68.4,78.3,..,..,..,75.1,91.8,..,21,0
Sierra Leone,50.9,52,38.9,17.5,11.1,..,..,..,12,1
Singapore,80.4,84.9,..,96.6,96.1,82,90.8,..,24,0
Sint Maarten (Dutch part),..,..,..,..,..,..,..,..,..,..
Slovak Republic,73.7,80.9,..,74.3,80,81,89.7,29.7,20,1
Slovenia,78.2,84.1,..,97.5,97,81,86.5,34.5,37,..
Solomon Islands,69,72,..,..,..,..,..,47.4,2,1
Somalia,54.3,57.6,..,9.6,6,..,..,..,14,..
South Africa,58.5,65.6,..,68.8,68.8,83.5,87.9,..,42,1
South Sudan,55.3,57.3,51.5,..,..,..,..,21.9,29,1
Spain,80.6,86.3,..,97.6,97.6,79.5,87.2,..,39,1
Sri Lanka,71.7,78.4,..,82.2,83.1,57.3,54.7,26.1,6,1
St. Kitts and Nevis,..,..,..,..,..,..,..,57.8,13,1
St. Lucia,72.6,78.1,7.5,..,..,..,..,32.1,17,1
St. Martin (French part),76.3,82.8,..,..,..,..,..,..,..,..
St. Vincent and the Grenadines,71,75.3,..,..,..,..,..,76,13,1
Sudan,62.7,65.8,32.9,20.2,10,..,..,8.2,31,1
Suriname,68.2,74.6,18.8,..,..,3.8,1.6,18.3,26,1
Swaziland,53.7,60.3,6.5,..,..,..,..,36,6,1
Sweden,80.6,84.6,..,99.7,99.8,86.1,93.8,52.5,44,..
Switzerland,81.1,85.4,..,99.4,96.7,84,87.8,..,32,1
Syrian Arab Republic,64,76.8,..,..,..,59.7,83,..,13,1
Tajikistan,68.2,74,11.6,13.9,9.1,..,..,32.7,19,..
Tanzania,63.1,66.8,31.1,21.1,17.1,17.4,9.3,24.7,37,1
Thailand,71.4,79,22.1,81.2,75.4,46,45.2,64.4,6,1
Timor-Leste,66.8,70.4,18.9,..,..,32.2,20.3,64.4,39,1
Togo,59.2,60.7,21.8,20.9,14.4,..,..,25.3,18,..
Tonga,69.9,75.9,5.6,..,..,..,..,..,0,..
Trinidad and Tobago,67.2,74.2,..,..,..,71.7,84.3,45.1,31,1
Tunisia,73.5,77.6,1.6,34.1,20.5,68.6,80.2,49.5,31,1
Turkey,72.2,78.7,14.7,69,44.3,69.4,61.8,25.4,15,1
Turkmenistan,64.3,71.2,..,2,1.6,..,..,..,26,..
Turks and Caicos Islands,..,..,..,..,..,..,..,..,..,..
Tuvalu,..,..,..,..,..,..,..,..,7,..
Uganda,57.4,61.8,39.7,32.5,23.1,26.1,13.4,26.6,34,1
Ukraine,66.4,76.3,9.1,54,51.7,82.2,86.2,31.5,12,..
United Arab Emirates,76.4,78.6,..,89.8,66.3,..,..,..,23,0
United Kingdom,79.8,83.5,..,99.2,98.7,80.7,89.3,..,30,..
United States,76.4,81.2,..,92.4,94.8,92.5,94.8,..,19,..
Uruguay,73.7,80.8,24.6,50.1,41.3,70.5,76.1,23.1,16,..
Uzbekistan,68.5,74,..,42.2,39.3,..,..,29.2,16,1
Vanuatu,69.9,74.2,21.4,..,..,..,..,..,0,1
"Venezuela, RB",70.4,78.6,..,60.8,53.3,56.5,63.5,30.7,14,1
Vietnam,71.3,80.7,10.6,29.8,31.9,44.1,34.3,51.1,27,1
Virgin Islands (U.S.),76.8,83.1,..,..,..,..,..,..,..,..
West Bank and Gaza,71.4,75.2,15.3,27.3,21.2,69.1,66.9,12.6,..,1
"Yemen, Rep.",63.3,66.2,31.9,11.4,1.7,..,..,6.6,0,..
Zambia,58.9,63.9,31.4,32.9,29.7,..,..,49.8,18,1
Zimbabwe,58.6,62.1,32.4,19.1,15.3,32.4,16.9,42.5,32,1
World,69.8,74.1,..,64.1,57.4,..,..,34.3,23,..
East Asia & Pacific,73.2,77.4,..,..,..,..,..,46.9,19,..
Europe & Central Asia,74.2,80.9,..,..,..,80.2,85.9,32.5,26,..
Latin America & Caribbean,72.2,78.5,..,..,..,63.8,66.9,39.7,29,..
Middle East & North Africa,71.6,75.1,..,..,..,..,..,23.2,17,..
North America,76.8,81.5,..,..,..,91.4,94.1,..,22,..
South Asia,67,70,..,53.9,36.8,..,..,18.4,19,..
Sub-Saharan Africa,58.3,61.6,..,..,..,..,..,32.7,23,..
Low income,60.4,63.8,..,25.4,19.3,..,..,28.3,24,..
Lower middle income,65.9,69.6,..,48.1,35.5,..,..,34.1,18,..
Upper middle income,72.9,77.5,..,73.5,67.3,..,..,35.7,24,..
High income,78.2,83.5,..,90.8,90.5,85.8,90.4,38.2,27,..
British Virgin Islands,..,..,..,..,..,..,..,..,..,..
Gibraltar,..,..,..,..,..,..,..,..,..,..
Nauru,..,..,..,..,..,..,..,..,5,..
,,,,,,,,,,
Most Recent Value (MRV) if data for the specified year or full period are not available; or growth rate is calculated for less than the full period.,,,,,,,,,,
,,,,,,,,,,
WV.5 Women in development,,,,,,,,,,
,,,,,,,,,,
"World Development Indicators , THE WORLD BANK",,,,,,,,,,
Last updated date 09/18/2017,,,,,,,,,,
,,,,,,,,,,
About the Data,,,,,,,,,,
,,,,,,,,,,
"Life expectancy at birth, male (years)",,,,,,,,,,
Long definition,,,,,,,,,,
Life expectancy at birth indicates the number of years a newborn infant would live if prevailing patterns of mortality at the time of its birth were to stay the same throughout its life.,,,,,,,,,,
,,,,,,,,,,
Source,,,,,,,,,,
"(1) United Nations Population Division. World Population Prospects, (2) Census reports and other statistical publications from national statistical offices, (3) Eurostat: Demographic Statistics, (4) United Nations Statistical Division. Population and Vital Statistics Reprot (various years), (5) U.S. Census Bureau: International Database, and (6) Secretariat of the Pacific Community: Statistics and Demography Programme.",,,,,,,,,,
,,,,,,,,,,
"Life expectancy at birth, female (years)",,,,,,,,,,
Long definition,,,,,,,,,,
Life expectancy at birth indicates the number of years a newborn infant would live if prevailing patterns of mortality at the time of its birth were to stay the same throughout its life.,,,,,,,,,,
,,,,,,,,,,
Source,,,,,,,,,,
"(1) United Nations Population Division. World Population Prospects, (2) Census reports and other statistical publications from national statistical offices, (3) Eurostat: Demographic Statistics, (4) United Nations Statistical Division. Population and Vital Statistics Reprot (various years), (5) U.S. Census Bureau: International Database, and (6) Secretariat of the Pacific Community: Statistics and Demography Programme.",,,,,,,,,,
,,,,,,,,,,
Women who were first married by age 18 (% of women ages 20-24),,,,,,,,,,
Long definition,,,,,,,,,,
Women who were first married by age 18 refers to the percentage of women ages 20-24 who were first married by age 18.,,,,,,,,,,
,,,,,,,,,,
Source,,,,,,,,,,
"Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), AIDS Indicator Surveys(AIS), Reproductive Health Survey(RHS), and other household surveys.",,,,,,,,,,
,,,,,,,,,,
"Account at a financial institution, male (% age 15+)",,,,,,,,,,
Long definition,,,,,,,,,,
Account at a financial institution denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution.,,,,,,,,,,
,,,,,,,,,,
Source,,,,,,,,,,
"Demirguc-Kunt et al., 2015, Global Financial Inclusion Database, World Bank.",,,,,,,,,,
,,,,,,,,,,
"Account at a financial institution, female (% age 15+)",,,,,,,,,,
Long definition,,,,,,,,,,
Account at a financial institution denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution.,,,,,,,,,,
,,,,,,,,,,
Source,,,,,,,,,,
"Demirguc-Kunt et al., 2015, Global Financial Inclusion Database, World Bank.",,,,,,,,,,
,,,,,,,,,,
"Wage and salaried workers, male (% of male employment)",,,,,,,,,,
Long definition,,,,,,,,,,
"Wage and salaried workers (employees) are those workers who hold the type of jobs defined as ""paid employment jobs,"" where the incumbents hold explicit (written or oral) or implicit employment contracts that give them a basic remuneration that is not directly dependent upon the revenue of the unit for which they work.",,,,,,,,,,
,,,,,,,,,,
Source,,,,,,,,,,
"International Labour Organization, ILOSTAT database. Data retrieved in March 2017.",,,,,,,,,,
,,,,,,,,,,
"Wage and salaried workers, female (% of female employment)",,,,,,,,,,
Long definition,,,,,,,,,,
"Wage and salaried workers (employees) are those workers who hold the type of jobs defined as ""paid employment jobs,"" where the incumbents hold explicit (written or oral) or implicit employment contracts that give them a basic remuneration that is not directly dependent upon the revenue of the unit for which they work.",,,,,,,,,,
,,,,,,,,,,
Source,,,,,,,,,,
"International Labour Organization, ILOSTAT database. Data retrieved in March 2017.",,,,,,,,,,
,,,,,,,,,,
Firms with female participation in ownership (% of firms),,,,,,,,,,
Long definition,,,,,,,,,,
Firms with female participation in ownership are the percentage of firms with a woman among the principal owners.,,,,,,,,,,
,,,,,,,,,,
Source,,,,,,,,,,
"World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",,,,,,,,,,
,,,,,,,,,,
Proportion of seats held by women in national parliaments (%),,,,,,,,,,
Long definition,,,,,,,,,,
Women in parliaments are the percentage of parliamentary seats in a single or lower chamber held by women.,,,,,,,,,,
,,,,,,,,,,
Source,,,,,,,,,,
Inter-Parliamentary Union (IPU) (www.ipu.org).,,,,,,,,,,
,,,,,,,,,,
General comments,,,,,,,,,,
"General cut off date is end-December. Relevance to gender indicator: Women are vastly underrepresented in decision making positions in government, although there is some evidence of recent improvement. Gender parity in parliamentary representation is still far from being realized. Without representation at this level, it is difficult for women to influence policy.",,,,,,,,,,
,,,,,,,,,,
Nondiscrimination clause mentions gender in the constitution (1=yes; 0=no),,,,,,,,,,
Long definition,,,,,,,,,,
"Nondiscrimination clause mentions gender in the constitution is whether there is a nondiscrimination clause in the constitution which mentions gender. For the answer to be “Yes,” the constitution must use either the word discrimination or the word nondiscrimination or even when there is a “clawback” provision granting exceptions to the nondiscrimination clause for certain areas of the law, such as inheritance, family and customary law. The answer is “No” if there is no nondiscrimination provision, or the nondiscrimination language is present in the preamble but not in an article of the constitution, or there is a provision that merely stipulates that the sexes are equal, or the sexes have equal rights and obligations. The answer is ""N/A"" if there is no nondiscrimination provision.",,,,,,,,,,
,,,,,,,,,,
Source,,,,,,,,,,
"World Bank: Women, Business and the Law.",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Please see the online table at http://wdi.worldbank.org/table/WV.5 for observation-level metadata, which can be downloaded in Excel.",,,,,,,,,,
